sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
109,p53c-update-00000109,p53c-memory-0000046,2,update_relation,neo4j,stable_before_outage,1,,561576112689000,561576124489100,561576125694200,561576125882900,1,42.0382,20.1676,11.8001,1.2051,0.1887,55.2324,success
110,p53c-update-00000110,p53c-memory-0000035,2,replace_relation,neo4j,stable_before_outage,1,,561576157600900,561576168064000,561576168926600,561576169118700,1,37.041,23.7716,10.4631,0.8626,0.1921,48.559,success
111,p53c-update-00000111,p53c-memory-0000066,1,insert_memory,neo4j,stable_before_outage,1,,561576200722100,561576208985400,561576209492200,561576209591000,1,29.5568,19.4436,8.2633,0.5068,0.0988,38.4262,success
112,p53c-update-00000112,p53c-memory-0000067,1,insert_memory,neo4j,stable_before_outage,1,,561576271743300,561576286924200,561576288052100,561576288324000,1,50.9238,19.6393,15.1809,1.1279,0.2719,67.5051,success
113,p53c-update-00000113,p53c-memory-0000068,1,insert_memory,neo4j,stable_before_outage,1,,561576319993700,561576338071200,561576338926900,561576339057700,1,50.0951,23.7717,18.0775,0.8557,0.1308,69.1594,success
114,p53c-update-00000114,p53c-memory-0000069,1,insert_memory,neo4j,stable_before_outage,1,,561576370229400,561576379870600,561576380400400,561576380513800,1,50.5171,23.8839,9.6412,0.5298,0.1134,60.8017,success
115,p53c-update-00000115,p53c-memory-0000070,1,insert_memory,neo4j,stable_before_outage,1,,561576411903300,561576427459700,561576428514500,561576428813800,1,41.3241,17.427,15.5564,1.0548,0.2993,58.2348,success
116,p53c-update-00000116,p53c-memory-0000071,1,insert_memory,neo4j,stable_before_outage,1,,561576461017600,561576472820600,561576473714900,561576473953800,1,40.1679,20.197,11.803,0.8943,0.2389,53.1045,success
117,p53c-update-00000117,p53c-memory-0000004,4,update_relation,neo4j,stable_before_outage,1,,561576505647600,561576520071300,561576521077300,561576521366500,1,35.3237,18.7585,14.4237,1.006,0.2892,51.043,success
118,p53c-update-00000118,p53c-memory-0000033,2,update_relation,neo4j,stable_before_outage,1,,561576583910700,561576592595200,561576593297100,561576593523200,1,63.1291,34.948,8.6845,0.7019,0.2261,72.7419,success
119,p53c-update-00000119,p53c-memory-0000032,2,update_relation,neo4j,stable_before_outage,1,,561576624576200,561576631802500,561576632307600,561576632454200,1,54.8207,16.8119,7.2263,0.5051,0.1466,62.6995,success
120,p53c-update-00000120,p53c-memory-0000040,2,replace_relation,neo4j,stable_before_outage,1,,561576663426900,561576674932200,561576675429000,561576675564600,1,43.6865,15.7963,11.5053,0.4968,0.1356,55.8246,success
121,p53c-update-00000121,p53c-memory-0000072,1,insert_memory,neo4j,stable_before_outage,1,,561576706647800,561576714325900,561576714981400,561576715138500,1,36.5878,14.7278,7.6781,0.6555,0.1571,45.0787,success
122,p53c-update-00000122,p53c-memory-0000073,1,insert_memory,neo4j,stable_before_outage,1,,561576746036000,561576752507300,561576753376600,561576753550400,1,25.4681,14.0722,6.4713,0.8693,0.1738,32.9826,success
123,p53c-update-00000123,p53c-memory-0000074,1,insert_memory,neo4j,stable_before_outage,1,,561576815054800,561576821256300,561576821930000,561576822082800,1,43.9862,11.3494,6.2015,0.6737,0.1528,51.0144,success
124,p53c-update-00000124,p53c-memory-0000075,1,insert_memory,neo4j,stable_before_outage,1,,561576853761600,561576860270900,561576860821300,561576860980800,1,33.645,11.1064,6.5093,0.5504,0.1595,40.8644,success
125,p53c-update-00000125,p53c-memory-0000076,1,insert_memory,neo4j,stable_before_outage,1,,561576891803400,561576899982100,561576900558200,561576900653200,1,21.0032,8.9698,8.1787,0.5761,0.095,29.8532,success
126,p53c-update-00000126,p53c-memory-0000077,1,insert_memory,neo4j,stable_before_outage,1,,561576962457200,561576969787900,561576970497000,561576970711200,1,42.4591,14.9503,7.3307,0.7091,0.2142,50.7136,success
127,p53c-update-00000127,p53c-memory-0000051,2,update_relation,neo4j,stable_before_outage,1,,561577006309600,561577012875800,561577013378800,561577013478500,1,35.6716,10.4772,6.5662,0.503,0.0997,42.8411,success
