backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,64,2,evt_00020810,60.172,60.172,0,ok
cassandra,64,2,evt_00020811,60.917,60.917,0,ok
cassandra,64,2,evt_00020812,72.149,72.149,0,ok
cassandra,64,2,evt_00020813,69.257,69.257,0,ok
cassandra,64,2,evt_00020814,60.666,60.666,0,ok
cassandra,64,2,evt_00020815,67.825,67.825,0,ok
cassandra,64,2,evt_00020816,59.55,59.55,0,ok
cassandra,64,2,evt_00020817,61.075,61.075,0,ok
cassandra,64,2,evt_00020818,69.107,69.107,0,ok
cassandra,64,2,evt_00020819,63.924,63.924,0,ok
cassandra,64,2,evt_00020820,68.103,68.103,0,ok
cassandra,64,2,evt_00020821,66.533,66.533,0,ok
cassandra,64,2,evt_00020822,61.647,61.647,0,ok
cassandra,64,2,evt_00020823,63.72,63.72,0,ok
cassandra,64,2,evt_00020824,62.651,62.651,0,ok
cassandra,64,2,evt_00020825,64.433,64.433,0,ok
cassandra,64,2,evt_00020826,65.34,65.34,0,ok
cassandra,64,2,evt_00020827,63.7,63.7,0,ok
cassandra,64,2,evt_00020828,58.602,58.602,0,ok
cassandra,64,2,evt_00020829,62.134,62.134,0,ok
cassandra,64,2,evt_00020830,60.903,60.903,0,ok
cassandra,64,2,evt_00020831,71.341,71.341,0,ok
cassandra,64,2,evt_00020832,71.58,71.58,0,ok
cassandra,64,2,evt_00020833,63.065,63.065,0,ok
cassandra,64,2,evt_00020834,65.387,65.387,0,ok
cassandra,64,2,evt_00020835,65.503,65.503,0,ok
cassandra,64,2,evt_00020836,65.512,65.512,0,ok
cassandra,64,2,evt_00020837,66.907,66.907,0,ok
cassandra,64,2,evt_00020838,66.931,66.931,0,ok
cassandra,64,2,evt_00020839,63.201,63.201,0,ok
cassandra,64,2,evt_00020840,59.932,59.932,0,ok
cassandra,64,2,evt_00020841,61.528,61.528,0,ok
cassandra,64,2,evt_00020842,62.865,62.865,0,ok
cassandra,64,2,evt_00020843,62.813,62.813,0,ok
cassandra,64,2,evt_00020844,66.577,66.577,0,ok
cassandra,64,2,evt_00020845,64.005,64.005,0,ok
cassandra,64,2,evt_00020846,65.96,65.96,0,ok
cassandra,64,2,evt_00020847,64.316,64.316,0,ok
cassandra,64,2,evt_00020848,63.108,63.108,0,ok
cassandra,64,2,evt_00020849,64.057,64.057,0,ok
cassandra,64,2,evt_00020850,59.967,59.967,0,ok
cassandra,64,2,evt_00020851,62.033,62.033,0,ok
cassandra,64,2,evt_00020852,60.882,60.882,0,ok
