op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_03479,cassandra-materialized,1,2,lr000009::conv-30_qa_48,lr000009::conv-30,lr000009::conv-30_session_3_D3:4,2.3263,12.9402,31.8148,35.2582,12.4228,1.4105,0.7612,1.1056,51.136,1,1,369
r2_measured_03498,cassandra-materialized,1,2,lr000010::conv-42_qa_73,lr000010::conv-42,lr000010::conv-42_session_28_D28:22,15.3468,24.3379,44.574,46.7261,8.5261,0.5243,0.3511,0.3092,56.4959,1,1,626
r2_measured_03501,cassandra-materialized,1,2,lr000008::conv-44_qa_117,lr000008::conv-44,lr000008::conv-44_session_27_D27:2,7.8072,17.7045,42.945,46.1645,12.1573,0.5828,0.3988,0.3094,59.6851,1,1,675
r2_measured_03503,cassandra-materialized,1,2,lr000014::conv-26_qa_115,lr000014::conv-26,lr000014::conv-26_session_8_D8:12,6.584,16.9218,32.4084,34.1769,3.4097,0.4641,0.2781,0.3298,38.7139,1,1,419
r2_measured_03514,cassandra-materialized,1,2,lr000011::conv-26_qa_121,lr000011::conv-26,lr000011::conv-26_session_11_D11:3,9.1662,22.201,103.6539,105.0954,16.8442,0.4904,0.3047,0.3085,123.0935,1,1,419
r2_measured_03541,cassandra-materialized,1,2,lr000007::conv-41_qa_27,lr000007::conv-41,lr000007::conv-41_session_15_D15:11,5.2302,18.0661,44.2085,46.3694,8.6215,0.5451,0.3468,0.3104,,0,1,663
r2_measured_03558,cassandra-materialized,1,2,lr000007::conv-49_qa_131,lr000007::conv-49,lr000007::conv-49_session_18_D18:8,6.6394,19.4365,35.9674,37.8611,9.7396,0.5719,0.2852,0.3042,48.8227,1,1,508
r2_measured_03585,cassandra-materialized,1,2,lr000006::conv-42_qa_67,lr000006::conv-42,lr000006::conv-42_session_8_D8:3,25.5681,42.017,68.8696,70.8156,9.3801,0.4865,0.3396,0.2855,,0,1,627
r2_measured_03608,cassandra-materialized,1,2,lr000005::conv-41_qa_55,lr000005::conv-41,lr000005::conv-41_session_29_D29:1,9.2771,19.5166,46.8561,48.88,13.8866,0.7815,0.5175,0.4293,64.5743,1,1,662
r2_measured_03632,cassandra-materialized,1,2,lr000006::conv-44_qa_16,lr000006::conv-44,lr000006::conv-44_session_11_D11:7,11.4455,21.672,43.2861,49.1516,20.65,0.8134,0.539,0.6616,,0,1,675
r2_measured_03676,cassandra-materialized,1,2,lr000012::conv-44_qa_95,lr000012::conv-44,lr000012::conv-44_session_19_D19:20,15.9867,28.9693,52.9779,55.331,17.3678,0.5752,0.4088,0.3153,74.0665,1,1,673
r2_measured_03690,cassandra-materialized,1,2,lr000000::conv-47_qa_147,lr000000::conv-47,lr000000::conv-47_session_30_D30:18,4.1491,16.9251,38.3328,40.7501,5.3349,0.5754,0.36,0.3028,47.3842,1,1,688
r2_measured_03700,cassandra-materialized,1,2,lr000002::conv-41_qa_1,lr000002::conv-41,lr000002::conv-41_session_2_D2:1,6.5798,20.5039,45.7083,48.3622,10.0019,0.6849,0.4182,0.3633,59.9044,1,1,663
