alpha_dense,split,category,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
0.9,test,2,239,0.6078717540014611,0.5146443514644351,0.7405857740585774,0.7866108786610879,0.7649930264993026,0.6357848551191626
0.9,test,3,71,0.2878660854012967,0.2112676056338028,0.4084507042253521,0.5070422535211268,0.36819939243302957,0.27325006647206124
0.9,test,4,612,0.5287685444548188,0.4084967320261438,0.6895424836601307,0.7892156862745098,0.784041394335512,0.5885150899435257
1.0,dev,1,58,0.4298850574712643,0.29310344827586204,0.6551724137931034,0.7413793103448276,0.4171319102353584,0.3370346585456499
1.0,dev,2,82,0.5143292682926829,0.4268292682926829,0.6219512195121951,0.6829268292682927,0.6707317073170732,0.5506179833212771
1.0,dev,3,21,0.22989417989417993,0.14285714285714285,0.3333333333333333,0.5238095238095238,0.42857142857142855,0.2600868525849981
1.0,dev,4,229,0.4798918694115199,0.37554585152838427,0.6244541484716157,0.7074235807860262,0.6826783114992723,0.5192053020969556
1.0,test,1,224,0.42437996031746056,0.28125,0.625,0.75,0.48640902682843473,0.37099433428836404
1.0,test,2,239,0.5896294082486551,0.49372384937238495,0.7322175732217573,0.7782426778242678,0.7524407252440725,0.6177213485591126
1.0,test,3,71,0.27568186899172814,0.2112676056338028,0.39436619718309857,0.4788732394366197,0.3572908036454019,0.26432325869865386
1.0,test,4,612,0.5103330220977279,0.39215686274509803,0.6683006535947712,0.7630718954248366,0.7587145969498912,0.568757566379642
