op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_02190,cassandra-base,8,2,lr000011::conv-26_qa_52,lr000011::conv-26,lr000011::conv-26_session_13_D13:4,1,16,8.3711,29.7653,37.6368,61.8925,134.0121,24.364,10.3013,0.6098,0.756,181.095,1,1,1,418
r2_measured_02202,cassandra-base,8,2,lr000011::conv-26_qa_105,lr000011::conv-26,lr000011::conv-26_session_7_D7:13,2,21,8.1127,41.0514,54.7389,138.9836,246.0761,5.6387,5.2987,0.2872,0.3686,,0,1,1,418
r2_measured_02230,cassandra-base,8,2,lr000004::conv-50_qa_35,lr000004::conv-50,lr000004::conv-50_session_17_D17:6,1,12,5.9519,48.3553,53.3697,93.3348,157.9851,9.6583,5.6799,0.8528,0.3495,174.5879,1,1,1,566
r2_measured_02293,cassandra-base,8,2,lr000009::conv-42_qa_59,lr000009::conv-42,lr000009::conv-42_session_15_D15:9,0,2,8.5644,37.0289,37.0353,79.0116,261.6154,24.214,12.4106,0.5992,0.4151,,0,1,1,628
r2_measured_02324,cassandra-base,8,2,lr000013::conv-42_qa_91,lr000013::conv-42,lr000013::conv-42_session_9_D9:14,1,14,6.7693,30.2611,38.0263,94.8283,197.9701,13.5462,5.7922,1.3046,0.3651,219.0412,1,1,1,625
r2_measured_02331,cassandra-base,8,2,lr000015::conv-50_qa_27,lr000015::conv-50,lr000015::conv-50_session_16_D16:6,1,9,5.8567,44.4467,51.9293,85.4836,190.6246,13.3875,7.2115,0.6799,0.3829,,0,1,1,568
r2_measured_02341,cassandra-base,8,2,lr000004::conv-47_qa_86,lr000004::conv-47,lr000004::conv-47_session_9_D9:18,1,16,5.4257,18.9959,24.6895,52.5388,112.7922,11.3027,3.4379,1.0366,0.4022,129.0527,1,1,1,687
r2_measured_02348,cassandra-base,8,2,lr000014::conv-47_qa_127,lr000014::conv-47,lr000014::conv-47_session_24_D24:4,1,9,10.5295,45.2674,52.5518,85.0625,94.086,10.5134,10.6132,1.2784,0.4224,116.9923,1,1,1,687
r2_measured_02378,cassandra-base,8,2,lr000007::conv-47_qa_100,lr000007::conv-47,lr000007::conv-47_session_15_D15:15,1,14,7.5592,27.963,36.9741,77.9332,228.2894,9.0111,76.2679,3.6581,0.5599,317.8764,1,1,1,689
r2_measured_02384,cassandra-base,8,2,lr000008::conv-41_qa_94,lr000008::conv-41,lr000008::conv-41_session_13_D13:18,3,27,5.4314,54.1982,66.6506,106.6542,218.8999,76.8987,12.2899,1.5211,0.4185,310.1065,1,1,1,662
