op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_00671,neo4j-native,32,2,lr000005::conv-47_qa_107,lr000005::conv-47,lr000005::conv-47_session_18_D18:3,0,3,8.6966,51.3246,51.331,154.1971,381.1705,1012.2213,3.8671,1.0631,0.3477,,0,1,1,689
r2_measured_00728,neo4j-native,32,2,lr000007::conv-41_qa_151,lr000007::conv-41,lr000007::conv-41_session_32_D32:11,1,8,6.3987,49.7556,75.1548,112.3067,347.6584,1095.1255,12.301,2.2793,0.3256,1457.7519,1,1,1,660
r2_measured_00730,neo4j-native,32,2,lr000001::conv-42_qa_67,lr000001::conv-42,lr000001::conv-42_session_8_D8:3,0,3,9.1138,44.0991,44.105,80.5584,298.0329,1063.0264,5.1515,0.9165,0.337,,0,1,1,628
r2_measured_00764,neo4j-native,32,2,lr000013::conv-48_qa_187,lr000013::conv-48,lr000013::conv-48_session_29_D29:12,1,8,7.6409,61.5442,96.5643,126.9373,356.7901,1014.0654,15.2914,0.85,1.7932,1388.8587,1,1,1,680
r2_measured_00783,neo4j-native,32,2,lr000000::conv-41_qa_84,lr000000::conv-41,lr000000::conv-41_session_10_D10:10,1,15,6.8681,56.2789,84.32,127.4274,352.016,988.7886,9.1745,0.5445,0.3918,1351.0109,1,1,1,663
r2_measured_00844,neo4j-native,32,2,lr000006::conv-50_qa_15,lr000006::conv-50,lr000006::conv-50_session_8_D8:4,1,8,8.7872,49.9318,77.4318,141.2268,363.6703,936.3879,11.213,0.6436,0.4151,1312.4026,1,1,1,567
r2_measured_00847,neo4j-native,32,2,lr000010::conv-50_qa_7,lr000010::conv-50,lr000010::conv-50_session_4_D4:17,0,3,7.0435,44.2111,44.2153,88.5523,305.0443,980.5397,15.1827,0.3961,0.3331,1301.5628,1,1,1,567
r2_measured_00854,neo4j-native,32,2,lr000013::conv-41_qa_53,lr000013::conv-41,lr000013::conv-41_session_28_D28:11,2,16,7.6185,41.4477,80.618,127.5152,369.7123,1055.3521,20.8809,0.4999,0.3725,1446.8934,1,1,1,662
r2_measured_00868,neo4j-native,32,2,lr000012::conv-47_qa_118,lr000012::conv-47,lr000012::conv-47_session_22_D22:10,1,11,6.8042,49.8684,73.5128,116.1986,326.108,1064.5942,9.3021,1.2512,0.3992,1401.7251,1,1,1,688
r2_measured_00897,neo4j-native,32,2,lr000007::conv-50_qa_91,lr000007::conv-50,lr000007::conv-50_session_12_D12:7,1,7,6.6025,46.1682,70.2952,102.6101,307.264,832.567,17.7086,0.4268,0.3685,1158.4556,1,1,1,566
r2_measured_00914,neo4j-native,32,2,lr000008::conv-26_qa_90,lr000008::conv-26,lr000008::conv-26_session_3_D3:16,1,9,5.8083,40.2101,62.0656,88.1489,221.081,602.981,3.0046,0.3122,0.3405,,0,1,1,418
r2_measured_00934,neo4j-native,32,2,lr000008::conv-48_qa_47,lr000008::conv-48,lr000008::conv-48_session_13_D13:15,0,3,7.2958,35.1737,35.1781,80.0607,295.4846,1089.4153,8.377,1.2306,0.3416,1394.9295,1,1,1,681
r2_measured_00954,neo4j-native,32,2,lr000007::conv-26_qa_89,lr000007::conv-26,lr000007::conv-26_session_2_D2:15,0,3,8.3978,38.1966,38.2012,65.6218,212.9162,581.5854,2.0614,0.2796,0.3513,,0,1,1,419
r2_measured_01016,neo4j-native,32,2,lr000005::conv-42_qa_29,lr000005::conv-42,lr000005::conv-42_session_16_D16:11,0,3,9.5942,51.9949,52.0008,90.2621,354.3914,942.8669,17.7179,0.6664,0.3928,1316.122,1,1,1,629
r2_measured_01019,neo4j-native,32,2,lr000009::conv-30_qa_6,lr000009::conv-30,lr000009::conv-30_session_1_D1:24,1,17,32.5783,72.6788,93.3,114.8044,301.9942,570.458,2.9533,0.3983,0.4089,876.2886,1,1,1,368
r2_measured_01076,neo4j-native,32,2,lr000010::conv-48_qa_185,lr000010::conv-48,lr000010::conv-48_session_29_D29:7,1,11,7.117,39.5944,58.5939,92.6025,348.833,1181.4881,8.0272,0.4767,0.3366,1539.2417,1,1,1,681
r2_measured_01104,neo4j-native,32,2,lr000008::conv-49_qa_58,lr000008::conv-49,lr000008::conv-49_session_12_D12:2,1,8,6.5161,63.6192,114.6854,150.1614,343.939,804.7686,14.2035,0.4418,0.3799,1163.8103,1,1,1,508
r2_measured_01108,neo4j-native,32,2,lr000008::conv-50_qa_148,lr000008::conv-50,lr000008::conv-50_session_28_D28:10,1,11,7.6402,40.6511,72.1426,110.2791,313.2788,919.8493,15.9192,1.042,0.3533,1250.52,1,1,1,568
r2_measured_01185,neo4j-native,32,2,lr000005::conv-26_qa_8,lr000005::conv-26,lr000005::conv-26_session_3_D3:1,2,12,7.4587,41.2015,90.3409,117.6328,307.907,648.429,2.509,0.2919,0.3388,959.5338,1,1,1,419
r2_measured_01190,neo4j-native,32,2,lr000009::conv-50_qa_107,lr000009::conv-50,lr000009::conv-50_session_17_D17:5,1,15,6.5363,57.0797,95.1579,132.3998,353.3303,979.2402,16.3176,0.8548,0.3485,1350.1695,1,1,1,567
